Name,Ticker,Sector,Country,Market_Cap,Revenue,Beta,EBITDA,Free_Cash_Flow,Total_Debt,Total_Cash,Dividend_Yield,Revenue_Growth,ROE,Operating_Margin,Profit_Margin,Debt_to_Equity,Revenue_LC
BECHTLE AG,BC8.F,Technology,Germany,4458031257.6,6860888801.280001,0.89,1372177760.2560005,823306656.1536001,1114507814.4,445803125.7600001,0.0,0.08,0.12,0.15,0.1,50,6860888801.280001
PTC INC.,PTC,Technology,United States,18204620800.0,2859922944.0,1.034,571984588.8000001,343190753.28,4551155200.0,1820462080.0,0.0,0.08,0.12,0.15,0.1,50,2859922944.0
IFX GROUP PLC,IFX.DE,Technology,Germany,62693344051.200005,16091999723.52,1.673,3218399944.7040005,1931039966.8224,15673336012.8,6269334405.120001,0.0,0.08,0.12,0.15,0.1,50,16091999723.52
HEXATRONIC GROUP AB,02H0.F,Technology,Sweden,553887970.5600001,0.0,1.524,0.0,0.0,138471992.64000002,55388797.05600001,0.0,0.08,0.12,0.15,0.1,50,0.0
INDRA SISTEMAS SA,IDR.MC,Technology,Spain,9755684167.68,5591980523.52,0.697,1118396104.7040002,671037662.8224,2438921041.92,975568416.768,0.0,0.08,0.12,0.15,0.1,50,5591980523.52
CAPGEMINI SE,CAP.PA,Technology,France,18852074127.36,24262199377.92,0.754,4852439875.584001,2911463925.3504,4713018531.84,1885207412.736,0.0,0.08,0.12,0.15,0.1,50,24262199377.92
SPS COMMERCE INC.,SPSC,Technology,United States,2281728512.0,751505024.0,0.557,150301004.8,90180602.88,570432128.0,228172851.2,0.0,0.08,0.12,0.15,0.1,50,751505024.0
SERVICENOW INC.,NOW,Technology,United States,111233171456.0,13278000128.0,0.978,2655600025.6000004,1593360015.36,27808292864.0,11123317145.6,0.0,0.08,0.12,0.15,0.1,50,13278000128.0
COMPASS INC.,COMP,Real Estate,United States,7355220992.0,6642200064.0,2.542,1328440012.8000002,797064007.68,1838805248.0,735522099.2,0.0,0.08,0.12,0.15,0.1,50,6642200064.0
SAAB AB,SDV1.F,Industrials,Sweden,34034329681.92,0.0,0.025,0.0,0.0,8508582420.48,3403432968.1920004,0.0,0.08,0.12,0.15,0.1,50,0.0
NETSKOPE INC.,Z2G.F,Technology,United States,4452285450.240001,714045265.9200001,,142809053.18400002,85685431.9104,1113071362.5600002,445228545.0240001,0.0,0.08,0.12,0.15,0.1,50,714045265.9200001
ESI GROUP SA,ESI,Basic Materials,United States,7808127488.0,2499200000.0,1.276,499840000.0,299904000.0,1952031872.0,780812748.8000001,0.0,0.08,0.12,0.15,0.1,50,2499200000.0
DYNATRACE INC.,DT,Technology,United States,11034469376.0,1931836032.0,0.812,386367206.4,231820323.84,2758617344.0,1103446937.6,0.0,0.08,0.12,0.15,0.1,50,1931836032.0
ADVANCED MICRO DEVICES INC.,AMD,Technology,United States,330304946176.0,34638999552.0,1.949,6927799910.400001,4156679946.24,82576236544.0,33030494617.6,0.0,0.08,0.12,0.15,0.1,50,34638999552.0
INTERTEK GROUP PLC,IT1.F,Industrials,United Kingdom,8406268231.68,3668112138.24,0.65,733622427.6480001,440173456.5888,2101567057.92,840626823.1680001,0.0,0.08,0.12,0.15,0.1,50,3668112138.24
OPEN TEXT CORPORATION,OTEX,Technology,Canada,6162052096.0,5179770880.0,1.087,1035954176.0,621572505.6,1540513024.0,616205209.6,0.0,0.08,0.12,0.15,0.1,50,5179770880.0
SOFTBANK CORPORATION,9984.T,Communication Services,Japan,169870460819.8656,51324832920.3712,0.63,10264966584.07424,6158979950.444544,42467615204.9664,16987046081.98656,0.0,0.08,0.12,0.15,0.1,50,51324832920.3712
INSIGHT ENTERPRISES INC.,NSIT,Technology,United States,2630130688.0,8247179776.0,0.918,1649435955.2,989661573.12,657532672.0,263013068.8,0.0,0.08,0.12,0.15,0.1,50,8247179776.0
PAYONEER INC.,PAYO,Technology,United States,1951108736.0,1039820032.0,1.042,207964006.4,124778403.84,487777184.0,195110873.6,0.0,0.08,0.12,0.15,0.1,50,1039820032.0
RINGCENTRAL INC.,RNG,Technology,United States,2537644800.0,2485620992.0,1.231,497124198.4,298274519.04,634411200.0,253764480.0,0.0,0.08,0.12,0.15,0.1,50,2485620992.0
ALTEN SA,AN3.F,Technology,France,2297344896.0,4448913223.68,1.199,889782644.7360001,533869586.8416,574336224.0,229734489.6,0.0,0.08,0.12,0.15,0.1,50,4448913223.68
AB-SYSTEM,CSCO,Technology,United States,304550379520.0,59053998080.0,0.865,11810799616.0,7086479769.599999,76137594880.0,30455037952.0,0.0,0.08,0.12,0.15,0.1,50,59053998080.0
TIETO CORPORATION OYJ,TTEB.F,Technology,Finland,2448726128.6400003,2000484034.56,0.759,400096806.91200006,240058084.1472,612181532.1600001,244872612.86400005,0.0,0.08,0.12,0.15,0.1,50,2000484034.56
ATS CORPORATION,ATS,Industrials,Canada,3078183168.0,2800072960.0,1.163,560014592.0,336008755.2,769545792.0,307818316.8,0.0,0.08,0.12,0.15,0.1,50,2800072960.0
CARL ZEISS AG,CZMWY,Healthcare,Germany,2812534272.0,2204144896.0,1.435,440828979.2000001,264497387.52,703133568.0,281253427.2,0.0,0.08,0.12,0.15,0.1,50,2204144896.0
EBAY INC.,EBAY,Consumer Cyclical,United States,36594274304.0,10714000384.0,1.38,2142800076.8,1285680046.08,9148568576.0,3659427430.4,0.0,0.08,0.12,0.15,0.1,50,10714000384.0
AROBS TRANSILVANIA SOFTWARE SA,AROBS.RO,Technology,Romania,768232576.0,436986784.0,0.601,87397356.80000001,52438414.08,192058144.0,76823257.60000001,0.0,0.08,0.12,0.15,0.1,50,436986784.0
HAGER SE,HGTY,Financial Services,United States,4171104512.0,1360017024.0,0.891,272003404.8,163202042.88,1042776128.0,417110451.2000001,0.0,0.08,0.12,0.15,0.1,50,1360017024.0
DOCEBO INC.,DCBO,Technology,Canada,541879232.0,236691008.0,0.977,47338201.6,28402920.96,135469808.0,54187923.2,0.0,0.08,0.12,0.15,0.1,50,236691008.0
WOLTERS KLUWER HEALTH INC.,WKL.AS,Industrials,Netherlands,15136257024.000002,6563160207.360001,0.194,1312632041.472,787579224.8832,3784064256.000001,1513625702.4000003,0.0,0.08,0.12,0.15,0.1,50,6563160207.360001
BRAZE INC.,BRZE,Technology,United States,2066450304.0,693411968.0,1.064,138682393.6,83209436.16,516612576.0,206645030.4,0.0,0.08,0.12,0.15,0.1,50,693411968.0
VERISK ANALYTICS INC.,VRSK,Industrials,United States,25311463424.0,3029499904.0,0.804,605899980.8000001,363539988.48,6327865856.0,2531146342.4,0.0,0.08,0.12,0.15,0.1,50,3029499904.0
CADENCE DESIGN SYSTEMS INC.,CDNS,Technology,United States,78676033536.0,5212625920.0,1.005,1042525184.0,625515110.4,19669008384.0,7867603353.6,0.0,0.08,0.12,0.15,0.1,50,5212625920.0
CANCOM SE,COK.DE,Technology,Germany,799859473.9200001,1844433745.92,1.234,368886749.184,221332049.5104,199964868.48,79985947.392,0.0,0.08,0.12,0.15,0.1,50,1844433745.92
AXWAY SOFTWARE SA,1XV.SG,Technology,United States,916421437.44,709783534.08,0.585,141956706.816,85174024.0896,229105359.36,91642143.74400002,0.0,0.08,0.12,0.15,0.1,50,709783534.08
AIRBNB INC.,ABNB,Consumer Cyclical,United States,75835523072.0,12241000448.0,1.139,2448200089.6,1468920053.76,18958880768.0,7583552307.200001,0.0,0.08,0.12,0.15,0.1,50,12241000448.0
NAVAN INC.,NAVN,Technology,United States,2496386304.0,656339008.0,,131267801.6,78760680.96,624096576.0,249638630.4,0.0,0.08,0.12,0.15,0.1,50,656339008.0
"BUKALAPAK.COM TBK, PT",5E9.F,Consumer Cyclical,Indonesia,609604116.48,0.0,0.326,0.0,0.0,152401029.12,60960411.648,0.0,0.08,0.12,0.15,0.1,50,0.0
HAVAS SA,JP71.F,Communication Services,France,1522640885.76,3137399930.88,,627479986.176,376487991.7056,380660221.44,152264088.576,0.0,0.08,0.12,0.15,0.1,50,3137399930.88
KINEPOLIS GROUP NV,0QV7.IL,Communication Services,Belgium,822304673.2800001,601712271.36,1.519862,120342454.272,72205472.5632,205576168.32,82230467.32800001,0.0,0.08,0.12,0.15,0.1,50,601712271.36
VIMIAN GROUP AB,0V0.F,Healthcare,Sweden,1405567503.36,459000000.00000006,1.419,91800000.0,55080000.00000001,351391875.84000003,140556750.33600003,0.0,0.08,0.12,0.15,0.1,50,459000000.00000006
MASTERCARD INTERNATIONAL INC.,MA,Financial Services,United States,466878791680.0,32790999040.0,0.821,6558199808.0,3934919884.8,116719697920.0,46687879168.0,0.0,0.08,0.12,0.15,0.1,50,32790999040.0
UNIVERSAL MUSIC GROUP INC.,UMG.AS,Communication Services,Netherlands,38542409072.64,13164119654.400002,0.765,2632823930.8800006,1579694358.528,9635602268.16,3854240907.264,0.0,0.08,0.12,0.15,0.1,50,13164119654.400002
ASSA ABLOY IDENTIFICATION TECHNOLOGY GROUP AB,1ASSA.MI,Industrials,Sweden,44134697041.920006,0.0,0.825,0.0,0.0,11033674260.48,4413469704.192,0.0,0.08,0.12,0.15,0.1,50,0.0
POWERFLEET INC.,PWR.JO,Technology,United States,8357375488.0,432924992.0,1.315,86584998.4,51950999.04,2089343872.0,835737548.8000001,0.0,0.08,0.12,0.15,0.1,50,432924992.0
CRITEO CORPORATION,CRTO,Communication Services,France,864466496.0,1944900992.0,0.372,388980198.4,233388119.04,216116624.0,86446649.60000001,0.0,0.08,0.12,0.15,0.1,50,1944900992.0
XOMETRY INC.,XMTR,Industrials,United States,2865256448.0,642780032.0,0.854,128556006.4,77133603.84,716314112.0,286525644.8,0.0,0.08,0.12,0.15,0.1,50,642780032.0
ROCKWELL AUTOMATION INC.,ROK,Industrials,United States,43592593408.0,8566000128.0,1.527,1713200025.6,1027920015.36,10898148352.0,4359259340.8,0.0,0.08,0.12,0.15,0.1,50,8566000128.0
RESIDEO TECHNOLOGIES INC.,REZI,Industrials,United States,5443635200.0,7434999808.0,1.737,1486999961.6,892199976.9599999,1360908800.0,544363520.0,0.0,0.08,0.12,0.15,0.1,50,7434999808.0
OSTERREICHISCHE POST AG,OSTIY,Industrials,Austria,2600776704.0,3106899968.0,0.626,621379993.6,372827996.16,650194176.0,260077670.4,0.0,0.08,0.12,0.15,0.1,50,3106899968.0
LUMINE GROUP INC.,LMN.V,Technology,Canada,3471355392.0,544983360.0,1.151,108996672.0,65398003.2,867838848.0,347135539.20000005,0.0,0.08,0.12,0.15,0.1,50,544983360.0
BAYERISCHE MOTOREN WERKE AG,BMW.DE,Consumer Cyclical,Germany,59618523709.44,147328202833.92,0.748,29465640566.784004,17679384340.0704,14904630927.36,5961852370.944,0.0,0.08,0.12,0.15,0.1,50,147328202833.92
AZENTA INC.,AZTA,Healthcare,United States,1325881088.0,595027008.0,1.337,119005401.6,71403240.96,331470272.0,132588108.8,0.0,0.08,0.12,0.15,0.1,50,595027008.0
SUN CORPORATION,SUN,Energy,United States,11241722880.0,21870000128.0,0.522,4374000025.6,2624400015.36,2810430720.0,1124172288.0,0.0,0.08,0.12,0.15,0.1,50,21870000128.0
COFACE SA,65C.F,Financial Services,France,2570327009.28,2091025843.2,0.487,418205168.6400001,250923101.184,642581752.32,257032700.92800003,0.0,0.08,0.12,0.15,0.1,50,2091025843.2
ITA GROUP INC.,ITUB,Financial Services,Brazil,100270227456.0,138947002368.0,0.199,27789400473.6,16673640284.16,25067556864.0,10027022745.6,0.0,0.08,0.12,0.15,0.1,50,138947002368.0
INSTALCO AB,INSTAL.ST,Industrials,Sweden,859424148.48,1291810012.16,0.992,258362002.43200004,155017201.4592,214856037.12,85942414.848,0.0,0.08,0.12,0.15,0.1,50,1291810012.16
BEST IN PARKING AG,301195.SZ,Technology,China,669329991.6800001,143720344.32000002,0.426,28744068.864000008,17246441.318400003,167332497.92000002,66932999.16800001,0.0,0.08,0.12,0.15,0.1,50,143720344.32000002
RITCHIE BROS AUCTIONEERS INC.,RBA,Industrials,United States,19023929344.0,4528900096.0,0.547,905780019.2,543468011.52,4755982336.0,1902392934.4,0.0,0.08,0.12,0.15,0.1,50,4528900096.0
NETEASE INC.,NTES,Communication Services,China,76976390144.0,112625803264.0,0.915,22525160652.800003,13515096391.68,19244097536.0,7697639014.400001,0.0,0.08,0.12,0.15,0.1,50,112625803264.0
WPP GROUP PLC,WPP,Communication Services,United Kingdom,3830685696.0,18004790568.96,0.572,2835400089.6000004,1701240053.76,957671424.0,383068569.6,0.0,0.08,0.12,0.15,0.1,50,14177000448.0
PUBLICIS GROUPE SA,PU4.F,Communication Services,France,19193352192.0,18790918963.2,0.602,3758183792.64,2254910275.584,4798338048.0,1919335219.2,0.0,0.08,0.12,0.15,0.1,50,18790918963.2
VALMET OYJ,VALMT.HE,Industrials,Finland,5521446051.84,5612760207.360001,1.181,1122552041.472,673531224.8832,1380361512.96,552144605.184,0.0,0.08,0.12,0.15,0.1,50,5612760207.360001
DOOK SA,301025.SZ,Communication Services,China,748178278.4000001,51777071.36000001,1.081,10355414.272000002,6213248.563200001,187044569.6,74817827.84000002,0.0,0.08,0.12,0.15,0.1,50,51777071.36000001
CTOS DIGITAL BHD,5301.KL,Financial Services,Malaysia,1899692288.0,326060992.0,0.307,65212198.400000006,39127319.04,474923072.0,189969228.8,0.0,0.08,0.12,0.15,0.1,50,326060992.0
MITSUBISHI CORPORATION,8058.T,Industrials,Japan,120758074972.5696,122981014568.96,0.504,24596202913.792004,14757721748.2752,30189518743.142403,12075807497.256962,0.0,0.08,0.12,0.15,0.1,50,122981014568.96
ORACLE CORPORATION,ORCL,Technology,United States,445972709376.0,61015998464.0,1.633,12203199692.8,7321919815.679999,111493177344.0,44597270937.600006,0.0,0.08,0.12,0.15,0.1,50,61015998464.0
AUTO DATA NETWORK INC.,ADP,Technology,United States,85534842880.0,21214300160.0,0.847,4242860032.0,2545716019.2,21383710720.0,8553484288.0,0.0,0.08,0.12,0.15,0.1,50,21214300160.0
"DESCARTES SYSTEMS GROUP INC., THE",DSGX,Technology,Canada,5719843328.0,703705984.0,0.406,140741196.8,84444718.08,1429960832.0,571984332.8000001,0.0,0.08,0.12,0.15,0.1,50,703705984.0
CCL INDUSTRIES INC.,1C9A.F,Consumer Cyclical,Canada,10385815265.28,8208107827.200001,0.505,1641621565.4400003,984972939.264,2596453816.32,1038581526.528,0.0,0.08,0.12,0.15,0.1,50,8208107827.200001
GIGACLOUD TECHNOLOGY INC.,GCT,Technology,United States,1313792384.0,1222931968.0,2.272,244586393.6,146751836.16,328448096.0,131379238.4,0.0,0.08,0.12,0.15,0.1,50,1222931968.0
PHOTON ENERGY NV,PEN.PR,Technology,Netherlands,630567168.0,100874000.0,0.133,20174800.0,12104880.0,157641792.0,63056716.8,0.0,0.08,0.12,0.15,0.1,50,100874000.0
LINKLOGIS INC.,9959.HK,Technology,China,564931395.584,127048704.0,1.474,25409740.8,15245844.48,141232848.896,56493139.558400005,0.0,0.08,0.12,0.15,0.1,50,127048704.0
OKTA INC.,OKTA,Technology,United States,14497432576.0,2840000000.0,0.767,568000000.0,340800000.0,3624358144.0,1449743257.6,0.0,0.08,0.12,0.15,0.1,50,2840000000.0
PROXIMUS SA,PROX.BR,Communication Services,Belgium,2946006097.92,6876360069.120001,0.562,1375272013.8240004,825163208.2944001,736501524.48,294600609.792,0.0,0.08,0.12,0.15,0.1,50,6876360069.120001
MEITU INC.,3690.HK,Consumer Cyclical,China,64136771796.992,46383746777.088,0.311,9276749355.4176,5566049613.25056,16034192949.248,6413677179.699201,0.0,0.08,0.12,0.15,0.1,50,46383746777.088
SS&C TECHNOLOGIES INC.,SSNC,Technology,United States,17563127808.0,6272200192.0,1.165,1254440038.4,752664023.04,4390781952.0,1756312780.8000002,0.0,0.08,0.12,0.15,0.1,50,6272200192.0
TELEFONICA SA,VIV,Communication Services,Brazil,25117466624.0,58565840896.0,0.357,11713168179.2,7027900907.52,6279366656.0,2511746662.4,0.0,0.08,0.12,0.15,0.1,50,58565840896.0
FLYWIRE CORPORATION,FLYW,Technology,United States,1339298176.0,583030976.0,1.281,116606195.2,69963717.12,334824544.0,133929817.6,0.0,0.08,0.12,0.15,0.1,50,583030976.0
WIZ INC.,WI2.F,Industrials,Hungary,1766194053.12,17125517.574144002,1.906,1223251255.2960002,733950753.1776,441548513.28,176619405.31200004,0.0,0.08,0.12,0.15,0.1,50,6116256276.4800005
HYATT HOTELS CORPORATION,H,Consumer Cyclical,United States,15940963328.0,3472000000.0,1.231,694400000.0,416640000.0,3985240832.0,1594096332.8000002,0.0,0.08,0.12,0.15,0.1,50,3472000000.0
KINGSOFT CLOUD CORPORATION LTD,KC,Technology,China,4221330944.0,9029373952.0,2.047,1805874790.4,1083524874.24,1055332736.0,422133094.4,0.0,0.08,0.12,0.15,0.1,50,9029373952.0
DELL INC.,DELL,Technology,United States,78197620736.0,104090001408.0,1.099,20818000281.6,12490800168.96,19549405184.0,7819762073.6,0.0,0.08,0.12,0.15,0.1,50,104090001408.0
DOUBLEVERIFY INC.,DV,Communication Services,United States,1523363968.0,733324032.0,0.978,146664806.4,87998883.84,380840992.0,152336396.8,0.0,0.08,0.12,0.15,0.1,50,733324032.0
BNP PARIBAS INVESTMENT PARTNERS SA,BNP.PA,Financial Services,France,111410009210.88,51771959377.920006,0.992,10354391875.584002,6212635125.350401,27852502302.72,11141000921.088,0.0,0.08,0.12,0.15,0.1,50,51771959377.920006
CNH INDUSTRIAL NV,CNH,Industrials,United Kingdom,16498192384.0,17813999616.0,1.351,3562799923.2000003,2137679953.92,4124548096.0,1649819238.4,0.0,0.08,0.12,0.15,0.1,50,17813999616.0
MFE - MEDIAFOREUROPE NV,T0J2.F,Communication Services,Italy,2392487884.8,3107375861.76,1.064,621475172.3520001,372885103.4112,598121971.2,239248788.48,0.0,0.08,0.12,0.15,0.1,50,3107375861.76
LA FRANCAISE DES JEUX SA,FDJ.VI,Consumer Cyclical,France,4573461381.12,3783780034.56,0.734,756756006.9120002,454053604.1472001,1143365345.28,457346138.112,0.0,0.08,0.12,0.15,0.1,50,3783780034.56
TENABLE HOLDINGS INC.,TENB,Technology,United States,2678014976.0,999404992.0,0.653,199880998.4,119928599.04,669503744.0,267801497.6,0.0,0.08,0.12,0.15,0.1,50,999404992.0
DELIVERY HERO AG,DHER.DE,Consumer Cyclical,Germany,6634963169.280001,14474052034.56,1.658,2894810406.9120007,1736886244.1472,1658740792.3200002,663496316.9280001,0.0,0.08,0.12,0.15,0.1,50,14474052034.56
PLAYTIKA HOLDING CORPORATION,PLTK,Communication Services,Israel,1261667328.0,2726899968.0,0.832,545379993.6,327227996.16,315416832.0,126166732.8,0.0,0.08,0.12,0.15,0.1,50,2726899968.0
CAPITAL ONE FINANCIAL CORPORATION,COF,Financial Services,United States,132153131008.0,32778999808.0,1.124,6555799961.6,3933479976.96,33038282752.0,13215313100.8,0.0,0.08,0.12,0.15,0.1,50,32778999808.0
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,CTSH,Technology,United States,31516815360.0,21108000768.0,0.957,4221600153.6,2532960092.16,7879203840.0,3151681536.0,0.0,0.08,0.12,0.15,0.1,50,21108000768.0
KEYSIGHT TECHNOLOGIES INC.,KEYS,Technology,United States,40213798912.0,5375000064.0,1.201,1075000012.8,645000007.68,10053449728.0,4021379891.2,0.0,0.08,0.12,0.15,0.1,50,5375000064.0
SHIFT4 PAYMENTS INC.,FOUR,Technology,United States,4943402496.0,3878400000.0,1.608,775680000.0,465408000.0,1235850624.0,494340249.6,0.0,0.08,0.12,0.15,0.1,50,3878400000.0
PALO ALTO NETWORKS INC.,PANW,Technology,United States,132055539712.0,9556500480.0,0.75,1911300096.0,1146780057.6,33013884928.0,13205553971.2,0.0,0.08,0.12,0.15,0.1,50,9556500480.0
CONSTELLATION SOFTWARE INC.'S PERSEUS DIVISION,CSU.TO,Technology,Canada,36085707243.52,8250259763.2,0.722,1650051952.64,990031171.584,9021426810.88,3608570724.352,0.0,0.08,0.12,0.15,0.1,50,8250259763.2
BIONTECH SE,BNTX,Healthcare,Germany,26633990144.0,3152499968.0,1.514,630499993.6,378299996.16,6658497536.0,2663399014.4,0.0,0.08,0.12,0.15,0.1,50,3152499968.0
LIBERTY GLOBAL INC.,LBTYA,Communication Services,Bermuda,3803480832.0,4770599936.0,0.839,954119987.2,572471992.3199999,950870208.0,380348083.2000001,0.0,0.08,0.12,0.15,0.1,50,4770599936.0
HUT 8 CORPORATION,HUT,Financial Services,United States,5739986432.0,178318000.0,6.169,35663600.0,21398160.0,1434996608.0,573998643.2,0.0,0.08,0.12,0.15,0.1,50,178318000.0
DEUTSCHE TELEKOM AG,DTE.DE,Communication Services,Germany,179373535395.84003,130696201175.04,0.283,26139240235.008003,15683544141.0048,44843383848.96001,17937353539.584003,0.0,0.08,0.12,0.15,0.1,50,130696201175.04
NAVER CORPORATION,035420.KS,Communication Services,South Korea,28308686241.792,9026249687.04,1.235,1805249937.408,1083149962.4448,7077171560.448,2830868624.1792,0.0,0.08,0.12,0.15,0.1,50,9026249687.04
TELUS CORPORATION,TU,Communication Services,Canada,21143744512.0,20345999360.0,0.816,4069199872.0,2441519923.2,5285936128.0,2114374451.2,0.0,0.08,0.12,0.15,0.1,50,20345999360.0
EDENRED SE,EDNMY,Financial Services,France,5040438784.0,2676999936.0,0.372,535399987.2000001,321239992.32,1260109696.0,504043878.4,0.0,0.08,0.12,0.15,0.1,50,2676999936.0
